Tags,Platform,Avatar,Channel Name,Username,Channel Url,Location,Subscribers Count,Video count,Description,joined,Views,Email,3 Latest Videos Url,3 Latest Videos Title,3 Latest videos image
Music,Youtube,https://yt3.googleusercontent.com/CL8tVHSaAetXksR5I_RCn1tgfvrfRfyeoVasD4c3Vav4-ikrZA0LzDZdIgg4tcDf90-yPQpndA=s176-c-k-c0x00ffffff-no-rj,Maroon 5,@Maroon5,https://www.youtube.com/channel/UCBVjMGOIkavEAhyqpxJ73Dw/about,,36.5M subscribers,163,"Description
Welcome to the Maroon 5 official Youtube Channel. Head to our website for more info- www.maroon5.com",9-Mar-06,"22,136,675,206 views",,"['https://www.youtube.com/watch?v=KcAhx_aiRag', 'https://www.youtube.com/watch?v=StfynWcP2UQ', 'https://www.youtube.com/watch?v=BRC2CN1xni8']","['Maroon 5 - Memories (Live From The Today Show) by Maroon5VEVO 1 year ago 3 minutes, 19 seconds 3,977,911 views', 'Maroon 5 - Beautiful Mistakes ft. Megan Thee Stallion (Live From The Today Show) by Maroon5VEVO 1 year ago 3 minutes, 48 seconds 1,571,685 views', 'Maroon 5 - Lost (Live From The Today Show) by Maroon5VEVO 1 year ago 2 minutes, 52 seconds 1,498,984 views']","['https://i.ytimg.com/vi/KcAhx_aiRag/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCyENwE3cIFlE7KC6GCVUfbUHQjZg', 'https://i.ytimg.com/vi/StfynWcP2UQ/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLA0ux_oYGpJoGwdw54jm8ZbmLwDBA', 'https://i.ytimg.com/vi/BRC2CN1xni8/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLB3GVgeeYVXIqeabBxE5SLaPxnqiA']"
Entertainment,Youtube,https://yt3.googleusercontent.com/ytc/AGIKgqNL1Ctj-3ezrLCL5GdtLz6c5hybfZgsOWwvGnThnw=s176-c-k-c0x00ffffff-no-rj,nigahiga,@ryanhiga,https://www.youtube.com/channel/UCSAUGyc_xA8uYzaIVG6MESQ/about,United States,21.1M subscribers,403,"Description
Send me stuff here!
PO BOX 232355 Las Vegas, NV 89105

Film / Television / Personal Appearances / Media Contact
Business Inquiries Only:
Email: Media@HigaTV.com

My 2nd Channel:
http://www.youtube.com/HigaTV

Also check out my Twitter:
http://www.twitter.com/TheRealRyanHiga

Facebook:
http://www.facebook.com/higatv

Instagram
https://www.instagram.com/notryanhiga/

Weibo:
 http://www.weibo.com/ryanhiga",21-Jul-06,"4,375,369,330 views",,"['https://www.youtube.com/watch?v=FfMeHzVtnfs', 'https://www.youtube.com/watch?v=KSD2d8uU6Mo', 'https://www.youtube.com/watch?v=Zl9SD3Z7WXA']","['New COVID-19 study Confirms: ""Beating up Asians does NOT prevent Coronavirus"" by nigahiga 3 years ago 5 minutes, 50 seconds 6,688,184 views', ""Ugh, There's Just Nothing To Do! by nigahiga 3 years ago 3 minutes, 23 seconds 3,632,970 views"", 'My Midlife Crisis... by nigahiga 3 years ago 17 minutes 3,819,878 views']","['https://i.ytimg.com/vi/FfMeHzVtnfs/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLA6IHYlYjyJhGdLou1i_-CjkKMpDQ', 'https://i.ytimg.com/vi/KSD2d8uU6Mo/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAzLwXB40zZ7DDz2EazK_6vDRqQSw', 'https://i.ytimg.com/vi/Zl9SD3Z7WXA/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAzM1OS1Hs5Czy_bRUmRIpmqes-PQ']"
Music,Youtube,https://yt3.googleusercontent.com/o55NmuK5fNbiK9mZv8d0LwoGzUa5Yvw2W1StfnmkunOSVMF3wjr7dfHmNphIbwXHvQzPuFA6=s176-c-k-c0x00ffffff-no-rj,Linkin Park,@LinkinPark,https://www.youtube.com/channel/UCZU9T1ceaOgwfLRq7OKFU4Q/about,United States,20.2M subscribers,715,,29-Nov-06,"12,978,114,489 views",,"['https://www.youtube.com/watch?v=RQRIdVNUMrk', 'https://www.youtube.com/watch?v=TShzcty120Y', 'https://www.youtube.com/watch?v=wsCdnXu4Nxc']","['Global Fan Q&A Livestream Recap - Linkin Park by Linkin Park 4 days ago 4 minutes, 54 seconds 46,654 views', 'Lost [PLZ Tethered Version] - Linkin Park by Linkin Park 5 days ago 3 minutes, 24 seconds 273,522 views', 'Linkin Park - Healing Foot (Official Audio) by Linkin Park 2 weeks ago 3 minutes, 34 seconds 1,026,891 views']","['https://i.ytimg.com/vi/RQRIdVNUMrk/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDwQwDN2ZGgFmJazWON-ddkYxy_fA', 'https://i.ytimg.com/vi/TShzcty120Y/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLABDDwvsqUoqDFcI4dFSZdIlieyZA', 'https://i.ytimg.com/vi/wsCdnXu4Nxc/hqdefault.jpg?sqp=-oaymwE2CNACELwBSFXyq4qpAygIARUAAIhCGAFwAcABBvABAfgB_gmAAtAFigIMCAAQARgTIFUofzAP&rs=AOn4CLCXoJcCzVm-I-6A7TKtE9_ayalHNg']"
Film and Animation,Youtube,https://yt3.googleusercontent.com/_XxIsLgks3G7PJ1Yhfq6GWBeDr2PfYIi9xrbz-7AnsaiutSh6pItq4odcQgXRAvCn1KuGqlj4g=s176-c-k-c0x00ffffff-no-rj,Rotten Tomatoes Trailers,@RottenTomatoesTRAILERS,https://www.youtube.com/channel/UCi8e0iOVk1fEOogdfu4YgfA/about,United States,15.7M subscribers,10K,"Description
Rotten Tomatoes TRAILERS delivers hot new trailers, exclusive content, and first looks for all the best upcoming movies. Subscribe to be the first to see everything coming to theaters and your favorite streaming platforms - all in one place! 

We invite you to join the conversation on YouTube or leave a review on RottenTomatoes.com, but please read our Community Guidelines so that the discussion can be useful and enjoyable for everyone. http://editorial.rottentomatoes.com/otg-article/community-code-of-conduct/ ",2-Apr-11,"13,038,561,510 views",,"['https://www.youtube.com/watch?v=OdfaWz9QSFc', 'https://www.youtube.com/watch?v=7FBGgEnQhOA', 'https://www.youtube.com/watch?v=DK8paAmQBK0']","['The Flash Trailer #2 (2023) by Rotten Tomatoes Trailers 16 hours ago 2 minutes, 54 seconds 205,133 views', 'Robots Trailer #1 (2023) by Rotten Tomatoes Trailers 17 hours ago 2 minutes, 17 seconds 55,253 views', 'The Equalizer 3 Trailer #1 (2023) by Rotten Tomatoes Trailers 22 hours ago 3 minutes, 6 seconds 141,691 views']","['https://i.ytimg.com/vi/OdfaWz9QSFc/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDnR9X39-_MWrnGzBUv1Uw55wQhhA', 'https://i.ytimg.com/vi/7FBGgEnQhOA/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAD1NFXW12QPgxqfLoqFS_z64TIaA', 'https://i.ytimg.com/vi/DK8paAmQBK0/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDm-z7okJqRu6ALlgDzXefTTJukFA']"
Nonprofits & Activism,Youtube,https://yt3.googleusercontent.com/ytc/AGIKgqPCF-9_D76foguH-RiDlazSY29Lu_51Rr3LrKSn5A=s176-c-k-c0x00ffffff-no-rj,TEDx Talks,@TEDx,https://www.youtube.com/channel/UCsT0YIqwnpJCM-mx7-gSA4Q/about,,38.1M subscribers,196K,"Description
TEDx is an international community that organizes TED-style events anywhere and everywhere -- celebrating locally-driven ideas and elevating them to a global stage. TEDx events are produced independently of TED conferences, each event curates speakers on their own, but based on TED's format and rules.

TED's videos may be used for non-commercial purposes under a Creative Commons License, Attribution®CNon Commercial®CNo Derivatives (or the CC BY ®C NC ®C ND 4.0 International) and in accordance with our TED Talks Usage Policy (https://www.ted.com/about/our-organization/our-policies-terms/ted-talks-usage-policy). 

For more information on using TED for commercial purposes (e.g. employee learning, in a film or online course), please submit a Media Request here: https://media-requests.ted.com.",24-Jun-09,"7,223,431,906 views",,"['https://www.youtube.com/watch?v=c8F-tJ8NJuc', 'https://www.youtube.com/watch?v=4cz2xulNw3A', 'https://www.youtube.com/watch?v=fA3sAv3sW5k']","['How learning from plane crashes can make schools safer | Elizabeth Ekren | TEDxTexasStateUniversity by TEDx Talks 19 hours ago 14 minutes, 36 seconds 14,092 views', 'Greater than the Game: Athletes and Mental Health | Brenna Murray | TEDxUNCCharlotte by TEDx Talks 19 hours ago 15 minutes 1,942 views', 'Prefira Ser Julgado A Se Trair | Duda Rodrigues | TEDxCarioba by TEDx Talks 19 hours ago 14 minutes, 16 seconds 3,064 views']","['https://i.ytimg.com/vi/c8F-tJ8NJuc/hqdefault.jpg?sqp=-oaymwE2CNACELwBSFXyq4qpAygIARUAAIhCGAFwAcABBvABAfgB_gmAAtAFigIMCAAQARhyIEUoLzAP&rs=AOn4CLDyrUz3Z_AvYgMLaf3bGs90qb6vdw', 'https://i.ytimg.com/vi/4cz2xulNw3A/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAMqMD-KE13ANOQD18L_a0ebKkX6w', 'https://i.ytimg.com/vi/fA3sAv3sW5k/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLB6bGQ8UTiywIjXvUEZ0QtHazgvgw']"
Music,Youtube,https://yt3.googleusercontent.com/ytc/AGIKgqNbdHQp3Rtw82S7aBH_6tfdpTgI8GtgOjc8SHYhaQ=s176-c-k-c0x00ffffff-no-rj,SonyMusicIndiaVEVO,@sonymusicindiaVEVO,https://www.youtube.com/channel/UC3MLnJtqc_phABBriLRhtgQ/about,,45.8M subscribers,3.3K,"Description
Sony Music India on Vevo - Official Music Videos, Live Performances, Interviews and more...",3-Sep-09,"26,457,477,030 views",,"['https://www.youtube.com/watch?v=o61jfSvd4cc', 'https://www.youtube.com/watch?v=8nEk7S9TLUs', 'https://www.youtube.com/watch?v=er8YZNfx9zo']","['Hasinon Ka Dastoor - Salma | Salma Agha | Bappi Lehri | Hasan Kamal by SonyMusicIndiaVEVO 5 hours ago 4 minutes, 26 seconds 7,103 views', 'Zindagi Tere Dar Pe - Salma | Salma Agha | Bappi Lehri | Hasan Kamal by SonyMusicIndiaVEVO 1 day ago 8 minutes, 49 seconds 12,404 views', 'Tarasti Hain Deedar Ko - Anwar | Salma Aagha | Bappi Lehri | Hasan Kamal by SonyMusicIndiaVEVO 2 days ago 6 minutes, 50 seconds 12,703 views']","['https://i.ytimg.com/vi/o61jfSvd4cc/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCVHGrOMAC9FIvEsHuwcLpDPYlXTw', 'https://i.ytimg.com/vi/8nEk7S9TLUs/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDFFu9L7cCLFyjhjvvPepfGwuZAfg', 'https://i.ytimg.com/vi/er8YZNfx9zo/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBYSrYFsAeTkm2zjWijnalbxqOPrA']"
Film and Animation,Youtube,https://yt3.googleusercontent.com/b42QCAmVJ0kzNNi10_HmhsdfPEATQATS80hbLyHVJcVm6drn5pKtC6MY6wTluXi5iZ8_is5Q_Q=s176-c-k-c0x00ffffff-no-rj,YRF,@yrf,https://www.youtube.com/channel/UCbTLwN10NoCU4WDzLf1JMOA/about,India,53.3M subscribers,3.5K,"Description
Films. Music. Artistes.
At our core, we°Øre storytellers.
Celebrating the legacy #YRF50

From making high-budget blockbusters to youth-oriented films, from working with the biggest actors of the industry to launching young talent in films, from being the distribution house with the strongest global foothold to pioneering new formats of distribution and exploring newer territories, from launching compelling story-telling forms to the numerous digitally led innovations, Yash Raj Films (YRF) has maintained its flagship position across all verticals since its genesis.",8-Jun-06,"34,057,126,936 views",,"['https://www.youtube.com/watch?v=GOXSN7poN50', 'https://www.youtube.com/watch?v=4b2t9WNYNj8', 'https://www.youtube.com/watch?v=VtbjuE92PAg']","['Luv Ju | LoFi Mix | Arijit Singh | Shankar-Ehsaan-Loy | Amitabh Bhattacharya | Remix by Jus Keys by YRF 2 days ago 3 minutes, 1 second 29,068 views', 'In loving memory of Mrs. Pamela Yash Chopra by YRF 4 days ago 1 minute, 57 seconds 51,224 views', 'Pathaan x Tiger Theme | Shah Rukh Khan, Salman Khan | Sanchit, Ankit, Julius | YRF Spy Universe by YRF 7 days ago 2 minutes, 36 seconds 1,393,465 views']","['https://i.ytimg.com/vi/GOXSN7poN50/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBGVw-WFwYDWI4OOhbdflCQ79LnQg', 'https://i.ytimg.com/vi/4b2t9WNYNj8/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDd8nBpKK5O3DLXo2nOhI2LMryBkQ', 'https://i.ytimg.com/vi/VtbjuE92PAg/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDKaFfMPGxofgCVuXiJRDnf36EbVw']"
Music,Youtube,https://yt3.googleusercontent.com/MjcWQz-XYVCM4BpeWGtn80131-GU866BsveaLhoqScovwnhFslhqNRpFHFgWJ7_5ry79iCVq4g=s176-c-k-c0x00ffffff-no-rj,MalumaVEVO,@MalumaVEVO,https://www.youtube.com/channel/UCFkoPRmuxqr37jvGmmpzhzQ/about,,,181,"Description
Maluma en Vevo ®C Videoclips oficiales, Lyric videos, Sesiones en vivo, Entrevistas y muchos m®¢s...",16-Jun-11,"18,756,240,325 views",,"['https://www.youtube.com/watch?v=MSSdmVe16mo', 'https://www.youtube.com/watch?v=VFKu6QBbOa4', 'https://www.youtube.com/watch?v=XB-5yb5yHRI']","['Maluma, Anuel AA - Diablo, Qu®¶ Chimba (Official Video) by MalumaVEVO 1 month ago 5 minutes, 12 seconds 12,602,775 views', 'Maluma - La Reina (Official Video) by MalumaVEVO 1 month ago 3 minutes, 14 seconds 8,165,186 views', 'Maluma, Marc Anthony - La F®Ærmula (Premio Lo Nuestro 2023) by MalumaVEVO 2 months ago 4 minutes, 31 seconds 2,902,191 views']","['https://i.ytimg.com/vi/MSSdmVe16mo/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCK_CBjYFmdrmkkfimblaJ1a3uqkQ', 'https://i.ytimg.com/vi/VFKu6QBbOa4/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBNtgxVC1oRUFRHTEtfWIb_hntLxg', 'https://i.ytimg.com/vi/XB-5yb5yHRI/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLA9vpQM9lxEJja-WYzP8nADlLHiow']"
Comedy,Youtube,https://yt3.googleusercontent.com/ytc/AGIKgqMF_VtutL30FJCA9Hko0VZzLR-ImceV95gFLuwqtA=s176-c-k-c0x00ffffff-no-rj,JennaMarbles,@JennaMarbles,https://www.youtube.com/channel/UC9gFih9rw0zNCK3ZtoKQQyA/about,,19.8M subscribers,250,"Description
For Business Inquiries: http://jennamarblesblog.com/contact-me/

http://www.facebook.com/pages/Jenna-Mourey/311917224927

http://twitter.com/Jenna_Marbles",17-Feb-10,"1,795,437,003 views",,"['https://www.youtube.com/watch?v=KHCfr7qvkJs', 'https://www.youtube.com/watch?v=SDoUH4pmZkw', 'https://www.youtube.com/watch?v=7L7K9YYFn8E']","['Making A Dog Birthday Cake by JennaMarbles 2 years ago 16 minutes 6,301,594 views', 'Bunny Eating Things Politely by JennaMarbles 2 years ago 5 minutes, 10 seconds 3,107,675 views', 'Tie-Dying My Clothes With Bleach by JennaMarbles 2 years ago 15 minutes 4,593,957 views']","['https://i.ytimg.com/vi/KHCfr7qvkJs/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDAXgsoZpPNjfRnj7wseXlegxHq4A', 'https://i.ytimg.com/vi/SDoUH4pmZkw/hqdefault.jpg?sqp=-oaymwE2CNACELwBSFXyq4qpAygIARUAAIhCGAFwAcABBvABAfgB_gmAAtAFigIMCAAQARhlIGUoZTAP&rs=AOn4CLCthg2kNnfyUCb-2m8m1MjJMjnJCQ', 'https://i.ytimg.com/vi/7L7K9YYFn8E/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAwC6UHwFbzONG1hJ43l9azqjk5fA']"
Comedy,Youtube,https://yt3.googleusercontent.com/Lp9cu-xgKL0QYxdJ268CaZ63SrmODmZT2uRJjwPHvoeLOvd1LLNJWUd45tYR_VW9z5APPIPJpw=s176-c-k-c0x00ffffff-no-rj,The Tonight Show Starring Jimmy Fallon,@fallontonight,https://www.youtube.com/channel/UC8-Th83bH_thdKZDJCrn88g/about,United States,31M subscribers,8.9K,"Description
The Tonight Show is the longest-running talk show on television and the #1 late-night program on digital. Watch extended celebrity guest interviews, comedy sketches, parodies, games, and, of course, Jimmy°Øs Monologue, Thank You Notes, and Hashtags! You°Øll also find exclusive original content including digital shorts, behind the scenes series, and more.

Taped in front of a live studio audience from Studio 6B at 30 Rockefeller Center in New York City, °∞The Tonight Show Starring Jimmy Fallon°± airs Mondays through Fridays from 11:35 p.m.-12:35 a.m. ET/PT on NBC and is available on demand on Peacock. Stream now: https://bit.ly/2AYGd0x",8-Jan-06,"16,988,304,235 views",,"['https://www.youtube.com/watch?v=VHSrk_Mey5w', 'https://www.youtube.com/watch?v=d-FJyF7diYw', 'https://www.youtube.com/watch?v=4MV1fLKqvRc']","['Jackie Fabulous Stand-Up: Being Hot in Jamaica, Marrying an Ex-Athlete | The Tonight Show by The Tonight Show Starring Jimmy Fallon 7 hours ago 7 minutes, 4 seconds 5,949 views', ""Joshua Jackson Reveals How His Viral Dawson's Creek Basketball Scene Was Filmed | The Tonight Show by The Tonight Show Starring Jimmy Fallon 7 hours ago 7 minutes, 33 seconds 17,554 views"", 'Jude Law Was Starstruck by Jawas on the Star Wars: Skeleton Crew Set (External) | The Tonight Show by The Tonight Show Starring Jimmy Fallon 7 hours ago 9 minutes, 51 seconds 16,158 views']","['https://i.ytimg.com/vi/VHSrk_Mey5w/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAfmapKe1cyq6EiAP6qR0iXKuhOBA', 'https://i.ytimg.com/vi/d-FJyF7diYw/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCy27r0ujFJX4aZ81RYojYe3Bn1UA', 'https://i.ytimg.com/vi/4MV1fLKqvRc/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAq1xukX2ohDBO4CKqJ9Zz8a5yGNg']"
Music,Youtube,https://yt3.googleusercontent.com/DAaZVHqVPLXpCvoyHtGvnyJp1ONcJ_9QB71x80EAytAHKOeN2ARt-JuQ7i7kfPTV7i6eo3Iu6A=s176-c-k-c0x00ffffff-no-rj,LuisFonsiVEVO,@LuisFonsiVEVO,https://www.youtube.com/channel/UCLp8RBhQHu9wSsq62j_Md6A/about,United States,,96,"Description
Luis Fonsi en Vevo ®C Videoclips oficiales, Lyric videos, Sesiones en vivo, Entrevistas y muchos m®¢s...",12-May-09,"14,402,127,465 views",,"['https://www.youtube.com/watch?v=Jsm-Lzxtg7I', 'https://www.youtube.com/watch?v=MWks0ovpXgw', 'https://www.youtube.com/watch?v=hQpiyCzm6ks']","['Luis Fonsi, Manuel Turizo - Vacaciones (Acoustic Version) by LuisFonsiVEVO 11 months ago 2 minutes, 42 seconds 5,225,561 views', 'Luis Fonsi - Equivocada (Audio) by LuisFonsiVEVO 1 year ago 2 minutes, 53 seconds 437,157 views', 'Luis Fonsi - Igl®π (Audio) by LuisFonsiVEVO 1 year ago 2 minutes, 36 seconds 363,258 views']","['https://i.ytimg.com/vi/Jsm-Lzxtg7I/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBpPwbMlj-6bBkMraHPEpSunKoUpQ', 'https://i.ytimg.com/vi/MWks0ovpXgw/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCeuSvQIyc9siZ7Uwb5_T0GMdn2MQ', 'https://i.ytimg.com/vi/hQpiyCzm6ks/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLD7vyKusVt5zN1_r5IyxhPrZstvUw']"
Music,Youtube,https://yt3.googleusercontent.com/EYY-tyNOuRMuyfQfmEanxqMc3V06RqR7bPDrbAUfIXVbBdkMsWqkqE9st7Rznm6mVdLFu1al0g=s176-c-k-c0x00ffffff-no-rj,DemiLovatoVEVO,@DemiLovatoVEVO,https://www.youtube.com/channel/UCnyB9MYKRkSFK3IIB32CoVw/about,,,230,"Description
'Dancing With The Devil... The Art Of Starting Over' Out Now
https://demilovato.lnk.to/DWTDTAOSO",12-May-09,"5,717,287,651 views",,"['https://www.youtube.com/watch?v=wP0CB_2QjGo', 'https://www.youtube.com/watch?v=qO4mFC1OIBg', 'https://www.youtube.com/watch?v=GRQ98w2vj7U']","['Demi Lovato - Heart Attack (Rock Version) (Lyric Video) by DemiLovatoVEVO 1 month ago 3 minutes, 59 seconds 2,214,758 views', 'Demi Lovato - Still Alive (From the Original Motion Picture Scream VI) by DemiLovatoVEVO 1 month ago 3 minutes, 4 seconds 2,994,057 views', 'Demi Lovato - HOLY FVCK (Official Live Performances) | Vevo by DemiLovatoVEVO 6 months ago 13 minutes, 33 seconds 254,702 views']","['https://i.ytimg.com/vi/wP0CB_2QjGo/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDHK1EkKgw2j7Rgq06b2TlHvZMREQ', 'https://i.ytimg.com/vi/qO4mFC1OIBg/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCNivbHtPXczmfiuvREouzDWglQBg', 'https://i.ytimg.com/vi/GRQ98w2vj7U/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBN1v-khHWmEEYiZeEcMlgh3xzmRg']"
Entertainment,Youtube,https://yt3.googleusercontent.com/ytc/AGIKgqO6S9HyvWA19tQB5dGeNO_DDemBT-Af_ibMkEV8Ag=s176-c-k-c0x00ffffff-no-rj,TheRichest,@Therichest,https://www.youtube.com/channel/UCdxi8d8qRsRyUi2ERYjYb-w/about,United States,15M subscribers,2.2K,"Description
TheRichest THE channel to learn unbelievable but amazing facts about the most interesting people on earth!
Whether you want to learn about the lifestyle of famous celebrities, how they spend their millions, the most expensive things in the world, secret military technology, money topics and even some of the strangest discoveries - we've got you covered.

We'll always provide you with the richest quality on YouTube.


For business related matters relating to our channel (including media & advertising) please contact business.yt@valnetinc.com

For copyright matters relating to our channel please contact us directly at : legal@valnetinc.com",21-Jan-14,"2,807,723,505 views",,"['https://www.youtube.com/watch?v=WfAQadRFtBA', 'https://www.youtube.com/watch?v=6c2s2lo1gbY', 'https://www.youtube.com/watch?v=B2Vebs0AU8Y']","[""Con Man Or President? Inside Donald Trump's Biggest Scandals by TheRichest 4 days ago 10 minutes, 31 seconds 7,682 views"", 'BLACKROCK: The $10 Trillion Giant by TheRichest 6 days ago 8 minutes, 16 seconds 8,232 views', 'Why Pakistan is on the Brink of Total Economic Collapse by TheRichest 12 days ago 10 minutes, 19 seconds 28,228 views']","['https://i.ytimg.com/vi/WfAQadRFtBA/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAL9g8aE1N2Arbu3ChSQJJ57wJkrA', 'https://i.ytimg.com/vi/6c2s2lo1gbY/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBBgTUVGetlJ2W6YgZtVzRMWwZ8Wg', 'https://i.ytimg.com/vi/B2Vebs0AU8Y/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDDnGcKxfXU7QsySZ_RVqwlQCQyFg']"
Music,Youtube,https://yt3.googleusercontent.com/ytc/AGIKgqMX2mwP8qNL2XlJZni9yVguQbn5Z6nN8wpSMSceDA=s176-c-k-c0x00ffffff-no-rj,Fifth Harmony,@fifthharmony,https://www.youtube.com/channel/UCMtpmPs9end-dTNwVq16g4Q/about,,14.5M subscribers,67,"Description
Get our new album #FifthHarmony now: http://fifthharmony.co/iTunes",22-Feb-13,"7,856,577,422 views",,"['https://www.youtube.com/watch?v=ju_inUnrLc4', 'https://www.youtube.com/watch?v=OE6AKcn5BHw', 'https://www.youtube.com/watch?v=CdvUdvkYJME']","[""Fifth Harmony - Don't Say You Love Me by FifthHarmonyVEVO 4 years ago 3 minutes, 20 seconds 68,480,886 views"", ""Fifth Harmony - Happy Valentine's Day! by Fifth Harmony 5 years ago 6 minutes, 3 seconds 607,943 views"", 'Fifth Harmony - Behind The Scenes: Thanksgiving by Fifth Harmony 5 years ago 40 seconds 336,248 views']","['https://i.ytimg.com/vi/ju_inUnrLc4/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBbSZuI27Va9fSrvErLR1sODPxZmw', 'https://i.ytimg.com/vi/OE6AKcn5BHw/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCs0vSDEuRJdDDxPV3Vhep5KUrerw', 'https://i.ytimg.com/vi/CdvUdvkYJME/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCH-wtBsAVkknV309ECdw08wn10QA']"
